openai	example/openai/api_key	OPENAI_API_KEY
anthropic	example/anthropic/api_key	ANTHROPIC_API_KEY
gemini	example/gemini/api_key	GEMINI_API_KEY
groq	example/groq/api_key	GROQ_API_KEY
deepseek	example/deepseek/api_key	DEEPSEEK_API_KEY
mistral	example/mistral/api_key	MISTRAL_API_KEY
cohere	example/cohere/api_key	COHERE_API_KEY
github	example/github/token	GITHUB_TOKEN
huggingface	example/huggingface/token	HUGGINGFACE_TOKEN
cloudflare	example/cloudflare/token	CLOUDFLARE_API_TOKEN
brave	example/brave/api_key	BRAVE_API_KEY
exa	example/exa/api_key	EXA_API_KEY
tavily	example/tavily/api_key	TAVILY_API_KEY
serper	example/serper/api_key	SERPER_API_KEY
firecrawl	example/firecrawl/api_key	FIRECRAWL_API_KEY
elevenlabs	example/elevenlabs/api_key	ELEVENLABS_API_KEY
replicate	example/replicate/api_key	REPLICATE_API_TOKEN
fal	example/fal/api_key	FAL_API_KEY
stability	example/stability/api_key	STABILITY_API_KEY
jina	example/jina/api_key	JINA_API_KEY
voyage	example/voyage/api_key	VOYAGE_API_KEY
together	example/together/api_key	TOGETHER_API_KEY
openrouter	example/openrouter/api_key	OPENROUTER_API_KEY
perplexity	example/perplexity/api_key	PERPLEXITY_API_KEY
